Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:22 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:41:14
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD11.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"               0.00",                 "-",     
"               0.98",                -2.4,     
"               1.95",               -24.9,     
"               2.93",               -24.2,     
"               3.91",               -22.2,     
"               4.88",               -23.7,     
"               5.86",               -25.3,     
"               6.84",               -23.8,     
"               7.81",               -23.4,     
"               8.79",               -22.2,     
"               9.77",               -19.7,     
"              10.74",               -19.4,     
"              11.72",               -20.3,     
"              12.70",               -18.6,     
"              13.67",               -17.7,     
"              14.65",               -16.8,     
"              15.63",               -15.7,     
"              16.60",               -15.2,     
"              17.58",               -15.5,     
"              18.55",               -13.3,     
"              19.53",               -13.2,     
"              20.51",               -13.7,     
"              21.48",               -15.2,     
"              22.46",               -14.1,     
"              23.44",               -13.6,     
"              24.41",               -14.5,     
"              25.39",               -15.3,     
"              26.37",               -14.8,     
"              27.34",               -15.1,     
"              28.32",               -13.8,     
"              29.30",               -12.6,     
"              30.27",               -13.3,     
"              31.25",               -13.8,     
"              32.23",               -14.5,     
"              33.20",               -15.5,     
"              34.18",               -14.4,     
"              35.16",               -13.1,     
"              36.13",               -14.5,     
"              37.11",               -14.1,     
"              38.09",               -13.1,     
"              39.06",               -12.3,     
"              40.04",               -13.7,     
"              41.02",               -14.8,     
"              41.99",               -15.7,     
"              42.97",               -16.0,     
"              43.95",               -14.6,     
"              44.92",               -15.7,     
"              45.90",               -14.9,     
"              46.88",               -15.4,     
"              47.85",               -13.9,     
"              48.83",                 2.0,     
"              49.80",                10.3,     
"              50.78",                 6.5,     
"              51.76",               -13.9,     
"              52.73",               -13.5,     
"              53.71",               -17.7,     
"              54.69",               -16.8,     
"              55.66",               -15.3,     
"              56.64",               -14.5,     
"              57.62",               -15.1,     
"              58.59",               -17.8,     
"              59.57",               -15.2,     
"              60.55",               -13.7,     
"              61.52",               -15.7,     
"              62.50",               -17.6,     
"              63.48",               -17.2,     
"              64.45",               -18.2,     
"              65.43",               -15.4,     
"              66.41",               -13.5,     
"              67.38",               -15.3,     
"              68.36",               -16.2,     
"              69.34",               -16.0,     
"              70.31",               -16.6,     
"              71.29",               -15.3,     
