Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:21 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:17
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD09.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"             204.10",               -23.1,     
"             205.08",               -24.5,     
"             206.05",               -24.5,     
"             207.03",               -22.8,     
"             208.01",               -22.5,     
"             208.98",               -22.2,     
"             209.96",               -22.4,     
"             210.94",               -21.5,     
"             211.91",               -19.0,     
"             212.89",               -21.3,     
"             213.87",               -21.8,     
"             214.84",               -21.8,     
"             215.82",               -21.9,     
"             216.80",               -23.1,     
"             217.77",               -23.5,     
"             218.75",               -24.6,     
"             219.73",               -25.4,     
"             220.70",               -23.9,     
"             221.68",               -23.3,     
"             222.66",               -23.4,     
"             223.63",               -23.3,     
"             224.61",               -21.9,     
"             225.59",               -23.2,     
"             226.56",               -25.2,     
"             227.54",               -24.7,     
"             228.52",               -22.3,     
"             229.49",               -21.4,     
"             230.47",               -22.9,     
"             231.45",               -22.9,     
"             232.42",               -24.5,     
"             233.40",               -24.8,     
"             234.38",               -23.9,     
"             235.35",               -24.1,     
"             236.33",               -23.0,     
"             237.30",               -23.2,     
"             238.28",               -22.6,     
"             239.26",               -22.8,     
"             240.23",               -23.7,     
"             241.21",               -23.5,     
"             242.19",               -23.1,     
"             243.16",               -23.5,     
"             244.14",               -23.8,     
"             245.12",               -23.2,     
"             246.09",               -22.0,     
"             247.07",               -24.3,     
"             248.05",               -24.2,     
"             249.02",               -10.8,     
"             250.00",                -4.8,     
"             250.98",               -10.6,     
"             251.95",               -24.8,     
"             252.93",               -23.4,     
"             253.91",               -24.3,     
"             254.88",               -27.3,     
"             255.86",               -26.2,     
"             256.84",               -23.7,     
"             257.81",               -23.3,     
"             258.79",               -23.8,     
"             259.77",               -23.4,     
"             260.74",               -23.3,     
"             261.72",               -23.7,     
"             262.70",               -24.3,     
"             263.67",               -24.7,     
"             264.65",               -24.0,     
"             265.63",               -24.1,     
"             266.60",               -23.0,     
"             267.58",               -22.6,     
"             268.55",               -23.3,     
"             269.53",               -24.9,     
"             270.51",               -25.6,     
"             271.48",               -25.0,     
"             272.46",               -22.6,     
"             273.44",               -23.2,     
"             274.41",               -23.4,     
"             275.39",               -23.1,     
"             276.37",               -23.8,     
"             277.34",               -24.2,     
"             278.32",               -22.5,     
"             279.30",               -22.4,     
"             280.27",               -23.9,     
"             281.25",               -23.4,     
"             282.23",               -23.0,     
"             283.20",               -24.7,     
"             284.18",               -26.1,     
"             285.16",               -26.7,     
"             286.13",               -23.9,     
"             287.11",               -22.1,     
"             288.09",               -24.3,     
"             289.06",               -26.0,     
"             290.04",               -24.0,     
"             291.02",               -23.9,     
"             291.99",               -25.1,     
"             292.97",               -26.2,     
"             293.95",               -26.1,     
"             294.92",               -24.4,     
"             295.90",               -24.7,     
"             296.88",               -26.0,     
"             297.85",               -25.9,     
"             298.83",               -24.9,     
"             299.80",               -24.7,     
"             300.78",               -25.1,     
"             301.76",               -25.0,     
"             302.73",               -24.5,     
"             303.71",               -25.1,     
"             304.69",               -24.5,     
"             305.66",               -25.3,     
"             306.64",               -25.9,     
"             307.62",               -26.0,     
"             308.59",               -25.9,     
"             309.57",               -26.2,     
"             310.55",               -24.9,     
"             311.52",               -24.0,     
