Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:22 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:50
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD10.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"               0.00",                 "-",     
"               0.98",                -2.4,     
"               1.95",               -24.7,     
"               2.93",               -25.5,     
"               3.91",               -26.6,     
"               4.88",               -26.6,     
"               5.86",               -25.5,     
"               6.84",               -25.6,     
"               7.81",               -26.0,     
"               8.79",               -25.8,     
"               9.77",               -22.5,     
"              10.74",               -19.9,     
"              11.72",               -18.3,     
"              12.70",               -18.0,     
"              13.67",               -16.9,     
"              14.65",               -15.1,     
"              15.63",               -16.3,     
"              16.60",               -16.2,     
"              17.58",               -15.8,     
"              18.55",               -14.1,     
"              19.53",               -12.4,     
"              20.51",               -13.1,     
"              21.48",               -14.4,     
"              22.46",               -12.3,     
"              23.44",               -11.8,     
"              24.41",               -15.2,     
"              25.39",               -15.2,     
"              26.37",               -14.2,     
"              27.34",               -13.9,     
"              28.32",               -14.3,     
"              29.30",               -13.6,     
"              30.27",               -14.1,     
"              31.25",               -14.3,     
"              32.23",               -13.2,     
"              33.20",               -14.8,     
"              34.18",               -15.0,     
"              35.16",               -12.8,     
"              36.13",               -13.2,     
"              37.11",               -15.2,     
"              38.09",               -12.9,     
"              39.06",               -14.1,     
"              40.04",               -16.5,     
"              41.02",               -16.3,     
"              41.99",               -15.4,     
"              42.97",               -15.1,     
"              43.95",               -15.2,     
"              44.92",               -15.7,     
"              45.90",               -13.6,     
"              46.88",               -11.5,     
"              47.85",               -12.5,     
"              48.83",                 1.9,     
"              49.80",                10.4,     
"              50.78",                 6.6,     
"              51.76",               -12.1,     
"              52.73",               -15.1,     
"              53.71",               -18.0,     
"              54.69",               -16.8,     
"              55.66",               -15.7,     
"              56.64",               -15.5,     
"              57.62",               -16.5,     
"              58.59",               -17.7,     
"              59.57",               -15.5,     
"              60.55",               -15.3,     
"              61.52",               -16.3,     
"              62.50",               -17.3,     
"              63.48",               -15.0,     
"              64.45",               -14.1,     
"              65.43",               -16.0,     
"              66.41",               -17.5,     
"              67.38",               -14.6,     
"              68.36",               -14.7,     
"              69.34",               -14.7,     
"              70.31",               -15.1,     
"              71.29",               -14.4,     
